equipment_id,sensor_type,timestamp,value,unit,sensor_id,data_source,quality_flag
EQ-0029,pressure,2026-05-25T14:28:25.378568,107.9,psi,EQ-0029-pressure-001,SCADA_v2.3,GOOD
EQ-0038,power_consumption,2026-05-25T14:28:25.600392,,kw,EQ-0038-power_consumption-001,SCADA_v2.3,MISSING
EQ-0013,vibration,2026-05-25T14:28:26.086391,,mm_per_sec,EQ-0013-vibration-001,SCADA_v2.3,MISSING
EQ-0078,temperature,2026-05-25T14:28:26.592526,56.58,celsius,EQ-0078-temperature-001,SCADA_v2.3,GOOD
EQ-0098,vibration,2026-05-25T14:28:26.595488,,mm_per_sec,EQ-0098-vibration-001,SCADA_v2.3,MISSING
EQ-0040,temperature,2026-05-25T14:28:26.677247,79.33,celsius,EQ-0040-temperature-001,SCADA_v2.3,GOOD
EQ-0025,power_consumption,2026-05-25T14:28:27.336717,103.61,kw,EQ-0025-power_consumption-001,SCADA_v2.3,GOOD
EQ-0081,power_consumption,2026-05-25T14:28:28.113923,81.74,kw,EQ-0081-power_consumption-001,SCADA_v2.3,GOOD
EQ-0061,power_consumption,2026-05-25T14:28:28.270849,225.07,kw,EQ-0061-power_consumption-001,SCADA_v2.3,GOOD
EQ-0061,power_consumption,2026-05-25T14:28:28.270849,225.07,kw,EQ-0061-power_consumption-001,SCADA_v2.3,GOOD
EQ-0034,vibration,2026-05-25T14:28:28.305444,0.0003,mm_per_sec,EQ-0034-vibration-001,SCADA_v2.3,GOOD
EQ-0028,pressure,2026-05-25T14:28:28.719158,114.62,psi,EQ-0028-pressure-001,SCADA_v2.3,GOOD
EQ-0039,vibration,2026-05-25T14:28:28.728676,0.022,mm_per_sec,EQ-0039-vibration-001,SCADA_v2.3,GOOD
EQ-0037,power_consumption,2026-05-25T14:28:28.999034,60.81,kw,EQ-0037-power_consumption-001,SCADA_v2.3,GOOD
EQ-0046,pressure,2026-05-25T14:28:29.293981,99.23,psi,EQ-0046-pressure-001,SCADA_v2.3,GOOD
EQ-0043,vibration,2026-05-25T14:28:29.544936,0.024,mm_per_sec,EQ-0043-vibration-001,SCADA_v2.3,GOOD
EQ-0075,power_consumption,2026-05-25T14:28:29.727436,254.83,kw,EQ-0075-power_consumption-001,SCADA_v2.3,GOOD
EQ-0098,power_consumption,2026-05-25T14:28:29.912517,12.17,kw,EQ-0098-power_consumption-001,SCADA_v2.3,GOOD
EQ-0020,vibration,2026-05-25T14:28:30.271222,0.0136,mm_per_sec,EQ-0020-vibration-001,SCADA_v2.3,GOOD
EQ-0072,vibration,2026-05-25T14:28:30.561249,0.0227,mm_per_sec,EQ-0072-vibration-001,SCADA_v2.3,GOOD
EQ-0027,temperature,2026-05-25T14:28:30.822478,67.41,celsius,EQ-0027-temperature-001,SCADA_v2.3,GOOD
EQ-0071,power_consumption,2026-05-25T14:28:31.601346,223.5,kw,EQ-0071-power_consumption-001,SCADA_v2.3,GOOD
EQ-0012,vibration,2026-05-25T14:28:31.986984,N/A,mm_per_sec,EQ-0012-vibration-001,SCADA_v2.3,INVALID
EQ-0079,temperature,2026-05-25T14:28:32.072798,43.74,celsius,EQ-0079-temperature-001,SCADA_v2.3,GOOD
EQ-0077,temperature,2026-05-25T14:28:32.308586,76.44,celsius,EQ-0077-temperature-001,SCADA_v2.3,GOOD
EQ-0098,pressure,2026-05-25T14:28:32.367028,102.49,psi,EQ-0098-pressure-001,SCADA_v2.3,GOOD
EQ-0017,vibration,2026-05-25T14:28:33.184369,0.0049,mm_per_sec,EQ-0017-vibration-001,SCADA_v2.3,GOOD
EQ-0030,vibration,2026-05-25T14:28:33.297023,0.0209,mm_per_sec,EQ-0030-vibration-001,SCADA_v2.3,GOOD
EQ-0062,pressure,2026-05-25T14:28:33.432404,94.54,psi,EQ-0062-pressure-001,SCADA_v2.3,GOOD
EQ-0092,temperature,2026-05-25T14:28:33.985569,72.53,celsius,EQ-0092-temperature-001,SCADA_v2.3,GOOD
EQ-0058,vibration,2026-05-25T14:28:34.130241,0.0785,mm_per_sec,EQ-0058-vibration-001,SCADA_v2.3,GOOD
EQ-0079,power_consumption,2026-05-25T14:28:34.165189,23.05,kw,EQ-0079-power_consumption-001,SCADA_v2.3,GOOD
EQ-0016,temperature,2026-05-25T14:28:34.282999,67.53,celsius,EQ-0016-temperature-001,SCADA_v2.3,GOOD
EQ-0050,temperature,2026-05-25T14:28:34.857655,43.86,celsius,EQ-0050-temperature-001,SCADA_v2.3,GOOD
EQ-0033,temperature,2026-05-25T14:28:35.265364,N/A,celsius,EQ-0033-temperature-001,SCADA_v2.3,INVALID
EQ-0034,power_consumption,2026-05-25T14:28:35.563683,105.18,kw,EQ-0034-power_consumption-001,SCADA_v2.3,GOOD
EQ-0069,vibration,2026-05-25T14:28:35.620880,0.0223,mm_per_sec,EQ-0069-vibration-001,SCADA_v2.3,GOOD
EQ-0031,pressure,2026-05-25T14:28:35.652727,93.84,psi,EQ-0031-pressure-001,SCADA_v2.3,GOOD
EQ-0085,pressure,2026-05-25T14:28:35.726651,116.22,psi,EQ-0085-pressure-001,SCADA_v2.3,GOOD
EQ-0085,pressure,2026-05-25T14:28:35.726651,116.22,psi,EQ-0085-pressure-001,SCADA_v2.3,GOOD
EQ-0025,temperature,2026-05-25T14:28:35.959652,62.99,celsius,EQ-0025-temperature-001,SCADA_v2.3,GOOD
EQ-0051,pressure,2026-05-25T14:28:36.088092,101.12,psi,EQ-0051-pressure-001,SCADA_v2.3,GOOD
EQ-0047,temperature,2026-05-25T14:28:36.284864,66.42,celsius,EQ-0047-temperature-001,SCADA_v2.3,GOOD
EQ-0068,power_consumption,2026-05-25T14:28:36.395380,89.71,kw,EQ-0068-power_consumption-001,SCADA_v2.3,GOOD
EQ-0001,power_consumption,2026-05-25T14:28:36.476801,,kw,EQ-0001-power_consumption-001,SCADA_v2.3,MISSING
EQ-0071,vibration,2026-05-25T14:28:36.571031,0.0236,mm_per_sec,EQ-0071-vibration-001,SCADA_v2.3,GOOD
EQ-0045,power_consumption,2026-05-25T14:28:37.116369,227.91,kw,EQ-0045-power_consumption-001,SCADA_v2.3,GOOD
EQ-0069,pressure,2026-05-25T14:28:37.852575,99.7,psi,EQ-0069-pressure-001,SCADA_v2.3,GOOD
EQ-0072,pressure,2026-05-25T14:28:39.032099,104.51,psi,EQ-0072-pressure-001,SCADA_v2.3,GOOD
EQ-0015,vibration,2026-05-25T14:28:39.389734,0.0182,mm_per_sec,EQ-0015-vibration-001,SCADA_v2.3,GOOD
EQ-0048,power_consumption,2026-05-25T14:28:39.417343,246.5,kw,EQ-0048-power_consumption-001,SCADA_v2.3,GOOD
EQ-0077,temperature,2026-05-25T14:28:39.797546,75.31,celsius,EQ-0077-temperature-001,SCADA_v2.3,GOOD
EQ-0099,vibration,2026-05-25T14:28:40.108654,0.0242,mm_per_sec,EQ-0099-vibration-001,SCADA_v2.3,GOOD
EQ-0014,temperature,2026-05-25T14:28:40.520333,61.27,celsius,EQ-0014-temperature-001,SCADA_v2.3,GOOD
EQ-0063,vibration,2026-05-25T14:28:41.937685,0.0178,mm_per_sec,EQ-0063-vibration-001,SCADA_v2.3,GOOD
EQ-0051,power_consumption,2026-05-25T14:28:42.330816,53.0,kw,EQ-0051-power_consumption-001,SCADA_v2.3,GOOD
EQ-0056,vibration,2026-05-25T14:28:42.353478,0.0001,mm_per_sec,EQ-0056-vibration-001,SCADA_v2.3,GOOD
EQ-0023,vibration,2026-05-25T14:28:42.392123,0.008,mm_per_sec,EQ-0023-vibration-001,SCADA_v2.3,GOOD
EQ-0091,temperature,2026-05-25T14:28:42.413950,51.8,celsius,EQ-0091-temperature-001,SCADA_v2.3,GOOD
EQ-0072,power_consumption,2026-05-25T14:28:42.758146,24.69,kw,EQ-0072-power_consumption-001,SCADA_v2.3,GOOD
EQ-0005,power_consumption,2026-05-25T14:28:42.914603,243.86,kw,EQ-0005-power_consumption-001,SCADA_v2.3,GOOD
EQ-0088,vibration,2026-05-25T14:28:42.931299,,mm_per_sec,EQ-0088-vibration-001,SCADA_v2.3,MISSING
EQ-0028,power_consumption,2026-05-25T14:28:43.075639,128.85,kw,EQ-0028-power_consumption-001,SCADA_v2.3,GOOD
EQ-0099,pressure,2026-05-25T14:28:44.036426,N/A,psi,EQ-0099-pressure-001,SCADA_v2.3,INVALID
EQ-0050,temperature,2026-05-25T14:28:44.329002,73.6,celsius,EQ-0050-temperature-001,SCADA_v2.3,GOOD
EQ-0063,temperature,2026-05-25T14:28:44.539142,78.54,celsius,EQ-0063-temperature-001,SCADA_v2.3,GOOD
EQ-0018,pressure,2026-05-25T14:28:44.846490,94.66,psi,EQ-0018-pressure-001,SCADA_v2.3,GOOD
EQ-0074,power_consumption,2026-05-25T14:28:44.933418,-679.2,kw,EQ-0074-power_consumption-001,SCADA_v2.3,OUTLIER
EQ-0029,temperature,2026-05-25T14:28:45.231719,44.48,celsius,EQ-0029-temperature-001,SCADA_v2.3,GOOD
EQ-0032,vibration,2026-05-25T14:28:45.509257,0.0154,mm_per_sec,EQ-0032-vibration-001,SCADA_v2.3,GOOD
EQ-0003,pressure,2026-05-25T14:28:45.514842,81.99,psi,EQ-0003-pressure-001,SCADA_v2.3,GOOD
EQ-0097,power_consumption,2026-05-25T14:28:45.816447,43.72,kw,EQ-0097-power_consumption-001,SCADA_v2.3,GOOD
EQ-0070,vibration,2026-05-25T14:28:46.043656,0.0027,mm_per_sec,EQ-0070-vibration-001,SCADA_v2.3,GOOD
EQ-0049,pressure,2026-05-25T14:28:46.136123,95.49,psi,EQ-0049-pressure-001,SCADA_v2.3,GOOD
EQ-0092,temperature,2026-05-25T14:28:47.101173,57.75,celsius,EQ-0092-temperature-001,SCADA_v2.3,GOOD
EQ-0017,vibration,2026-05-25T14:28:47.251791,0.0326,mm_per_sec,EQ-0017-vibration-001,SCADA_v2.3,GOOD
EQ-0078,vibration,2026-05-25T14:28:47.737179,0.0032,mm_per_sec,EQ-0078-vibration-001,SCADA_v2.3,GOOD
EQ-0086,pressure,2026-05-25T14:28:48.050449,100.44,psi,EQ-0086-pressure-001,SCADA_v2.3,GOOD
EQ-0097,pressure,2026-05-25T14:28:48.263166,77.54,psi,EQ-0097-pressure-001,SCADA_v2.3,GOOD
EQ-0036,vibration,2026-05-25T14:28:48.681191,0.0024,mm_per_sec,EQ-0036-vibration-001,SCADA_v2.3,GOOD
EQ-0097,vibration,2026-05-25T14:28:49.442963,0.0164,mm_per_sec,EQ-0097-vibration-001,SCADA_v2.3,GOOD
EQ-0100,pressure,2026-05-25T14:28:49.725498,94.07,psi,EQ-0100-pressure-001,SCADA_v2.3,GOOD
EQ-0089,temperature,2026-05-25T14:28:50.264686,,celsius,EQ-0089-temperature-001,SCADA_v2.3,MISSING
EQ-0015,temperature,2026-05-25T14:28:50.464024,39.47,celsius,EQ-0015-temperature-001,SCADA_v2.3,GOOD
EQ-0049,temperature,2026-05-25T14:28:50.491448,77.7,celsius,EQ-0049-temperature-001,SCADA_v2.3,GOOD
EQ-0053,power_consumption,2026-05-25T14:28:50.516827,65.86,kw,EQ-0053-power_consumption-001,SCADA_v2.3,GOOD
EQ-0043,pressure,2026-05-25T14:28:50.760122,115.44,psi,EQ-0043-pressure-001,SCADA_v2.3,GOOD
EQ-0054,power_consumption,2026-05-25T14:28:52.678654,148.46,kw,EQ-0054-power_consumption-001,SCADA_v2.3,GOOD
EQ-0047,power_consumption,2026-05-25T14:28:52.913428,177.0,kw,EQ-0047-power_consumption-001,SCADA_v2.3,GOOD
EQ-0018,pressure,2026-05-25T14:28:53.339051,92.57,psi,EQ-0018-pressure-001,SCADA_v2.3,GOOD
EQ-0028,vibration,2026-05-25T14:28:53.435459,0.0143,mm_per_sec,EQ-0028-vibration-001,SCADA_v2.3,GOOD
EQ-0011,temperature,2026-05-25T14:28:54.496438,57.36,celsius,EQ-0011-temperature-001,SCADA_v2.3,GOOD
EQ-0020,power_consumption,2026-05-25T14:28:54.563790,96.45,kw,EQ-0020-power_consumption-001,SCADA_v2.3,GOOD
EQ-0050,pressure,2026-05-25T14:28:54.976940,N/A,psi,EQ-0050-pressure-001,SCADA_v2.3,INVALID
EQ-0003,power_consumption,2026-05-25T14:28:55.020665,,kw,EQ-0003-power_consumption-001,SCADA_v2.3,MISSING
EQ-0087,pressure,2026-05-25T14:28:55.792379,104.43,psi,EQ-0087-pressure-001,SCADA_v2.3,GOOD
EQ-0095,pressure,2026-05-25T14:28:55.961940,107.52,psi,EQ-0095-pressure-001,SCADA_v2.3,GOOD
EQ-0025,power_consumption,2026-05-25T14:28:56.498465,65.45,kw,EQ-0025-power_consumption-001,SCADA_v2.3,GOOD
EQ-0029,power_consumption,2026-05-25T14:28:56.540022,222.01,kw,EQ-0029-power_consumption-001,SCADA_v2.3,GOOD
EQ-0087,temperature,2026-05-25T14:28:56.595590,69.79,celsius,EQ-0087-temperature-001,SCADA_v2.3,GOOD
EQ-0020,vibration,2026-05-25T14:28:56.674480,,mm_per_sec,EQ-0020-vibration-001,SCADA_v2.3,MISSING
EQ-0025,power_consumption,2026-05-25T14:28:56.763849,84.33,kw,EQ-0025-power_consumption-001,SCADA_v2.3,GOOD
EQ-0056,temperature,2026-05-25T14:28:56.938178,45.56,celsius,EQ-0056-temperature-001,SCADA_v2.3,GOOD
EQ-0007,pressure,2026-05-25T14:28:57.162189,N/A,psi,EQ-0007-pressure-001,SCADA_v2.3,INVALID
EQ-0033,power_consumption,2026-05-25T14:28:57.357282,N/A,kw,EQ-0033-power_consumption-001,SCADA_v2.3,INVALID
EQ-0035,pressure,2026-05-25T14:28:57.982611,,psi,EQ-0035-pressure-001,SCADA_v2.3,MISSING
EQ-0007,pressure,2026-05-25T14:28:58.039717,79.62,psi,EQ-0007-pressure-001,SCADA_v2.3,GOOD
EQ-0037,pressure,2026-05-25T14:28:58.304142,104.7,psi,EQ-0037-pressure-001,SCADA_v2.3,GOOD
EQ-0001,pressure,2026-05-25T14:28:58.608880,91.22,psi,EQ-0001-pressure-001,SCADA_v2.3,GOOD
EQ-0073,temperature,2026-05-25T14:28:58.648412,55.29,celsius,EQ-0073-temperature-001,SCADA_v2.3,GOOD
EQ-0075,temperature,2026-05-25T14:28:58.886997,74.12,celsius,EQ-0075-temperature-001,SCADA_v2.3,GOOD
EQ-0079,pressure,2026-05-25T14:29:00.518853,102.69,psi,EQ-0079-pressure-001,SCADA_v2.3,GOOD
EQ-0068,pressure,2026-05-25T14:29:00.547008,104.62,psi,EQ-0068-pressure-001,SCADA_v2.3,GOOD
EQ-0075,temperature,2026-05-25T14:29:00.792264,57.25,celsius,EQ-0075-temperature-001,SCADA_v2.3,GOOD
EQ-0040,pressure,2026-05-25T14:29:01.003196,88.19,psi,EQ-0040-pressure-001,SCADA_v2.3,GOOD
EQ-0059,temperature,2026-05-25T14:29:01.023226,56.01,celsius,EQ-0059-temperature-001,SCADA_v2.3,GOOD
EQ-0020,pressure,2026-05-25T14:29:01.531664,93.12,psi,EQ-0020-pressure-001,SCADA_v2.3,GOOD
EQ-0052,pressure,2026-05-25T14:29:01.576348,100.42,psi,EQ-0052-pressure-001,SCADA_v2.3,GOOD
EQ-0056,temperature,2026-05-25T14:29:01.634964,56.15,celsius,EQ-0056-temperature-001,SCADA_v2.3,GOOD
EQ-0011,power_consumption,2026-05-25T14:29:01.746439,39.82,kw,EQ-0011-power_consumption-001,SCADA_v2.3,GOOD
EQ-0071,temperature,2026-05-25T14:29:02.487356,53.33,celsius,EQ-0071-temperature-001,SCADA_v2.3,GOOD
EQ-0008,power_consumption,2026-05-25T14:29:02.671421,79.33,kw,EQ-0008-power_consumption-001,SCADA_v2.3,GOOD
EQ-0031,vibration,2026-05-25T14:29:02.910110,-0.0224,mm_per_sec,EQ-0031-vibration-001,SCADA_v2.3,INVALID
EQ-0002,temperature,2026-05-25T14:29:03.432904,49.68,celsius,EQ-0002-temperature-001,SCADA_v2.3,GOOD
EQ-0065,vibration,2026-05-25T14:29:03.637791,0.0111,mm_per_sec,EQ-0065-vibration-001,SCADA_v2.3,GOOD
EQ-0096,power_consumption,2026-05-25T14:29:03.921489,N/A,kw,EQ-0096-power_consumption-001,SCADA_v2.3,INVALID
EQ-0094,pressure,2026-05-25T14:29:04.111980,104.79,psi,EQ-0094-pressure-001,SCADA_v2.3,GOOD
EQ-0004,power_consumption,2026-05-25T14:29:04.302348,44.24,kw,EQ-0004-power_consumption-001,SCADA_v2.3,GOOD
EQ-0075,pressure,2026-05-25T14:29:04.757254,104.42,psi,EQ-0075-pressure-001,SCADA_v2.3,GOOD
EQ-0082,vibration,2026-05-25T14:29:05.203304,0.0527,mm_per_sec,EQ-0082-vibration-001,SCADA_v2.3,GOOD
EQ-0009,vibration,2026-05-25T14:29:05.326757,0.074,mm_per_sec,EQ-0009-vibration-001,SCADA_v2.3,GOOD
EQ-0045,power_consumption,2026-05-25T14:29:05.415361,103.88,kw,EQ-0045-power_consumption-001,SCADA_v2.3,GOOD
EQ-0050,power_consumption,2026-05-25T14:29:06.041322,122.73,kw,EQ-0050-power_consumption-001,SCADA_v2.3,GOOD
EQ-0048,power_consumption,2026-05-25T14:29:06.096855,85.06,kw,EQ-0048-power_consumption-001,SCADA_v2.3,GOOD
EQ-0020,temperature,2026-05-25T14:29:06.206220,70.09,celsius,EQ-0020-temperature-001,SCADA_v2.3,GOOD
EQ-0069,power_consumption,2026-05-25T14:29:06.549106,6.81,kw,EQ-0069-power_consumption-001,SCADA_v2.3,GOOD
EQ-0030,pressure,2026-05-25T14:29:06.569069,91.88,psi,EQ-0030-pressure-001,SCADA_v2.3,GOOD
EQ-0018,temperature,2026-05-25T14:29:06.596232,49.19,celsius,EQ-0018-temperature-001,SCADA_v2.3,GOOD
EQ-0016,temperature,2026-05-25T14:29:06.676222,57.76,celsius,EQ-0016-temperature-001,SCADA_v2.3,GOOD
EQ-0066,pressure,2026-05-25T14:29:06.815692,98.29,psi,EQ-0066-pressure-001,SCADA_v2.3,GOOD
EQ-0093,vibration,2026-05-25T14:29:06.921873,,mm_per_sec,EQ-0093-vibration-001,SCADA_v2.3,MISSING
EQ-0052,power_consumption,2026-05-25T14:29:06.946200,42.34,kw,EQ-0052-power_consumption-001,SCADA_v2.3,GOOD
EQ-0040,vibration,2026-05-25T14:29:07.170362,0.1427,mm_per_sec,EQ-0040-vibration-001,SCADA_v2.3,GOOD
EQ-0005,temperature,2026-05-25T14:29:07.238917,57.34,celsius,EQ-0005-temperature-001,SCADA_v2.3,GOOD
EQ-0065,temperature,2026-05-25T14:29:07.649266,58.72,celsius,EQ-0065-temperature-001,SCADA_v2.3,GOOD
EQ-0007,power_consumption,2026-05-25T14:29:07.688130,79.99,kw,EQ-0007-power_consumption-001,SCADA_v2.3,GOOD
EQ-0092,power_consumption,2026-05-25T14:29:08.311990,34.9,kw,EQ-0092-power_consumption-001,SCADA_v2.3,GOOD
EQ-0006,pressure,2026-05-25T14:29:08.531447,98.95,psi,EQ-0006-pressure-001,SCADA_v2.3,GOOD
EQ-0055,pressure,2026-05-25T14:29:08.563709,N/A,psi,EQ-0055-pressure-001,SCADA_v2.3,INVALID
EQ-0078,vibration,2026-05-25T14:29:08.653968,0.0011,mm_per_sec,EQ-0078-vibration-001,SCADA_v2.3,GOOD
EQ-0100,power_consumption,2026-05-25T14:29:08.847302,49.54,kw,EQ-0100-power_consumption-001,SCADA_v2.3,GOOD
EQ-0049,power_consumption,2026-05-25T14:29:09.055969,149.13,kw,EQ-0049-power_consumption-001,SCADA_v2.3,GOOD
EQ-0014,temperature,2026-05-25T14:29:09.155654,72.35,celsius,EQ-0014-temperature-001,SCADA_v2.3,GOOD
EQ-0053,temperature,2026-05-25T14:29:09.205712,45.58,celsius,EQ-0053-temperature-001,SCADA_v2.3,GOOD
EQ-0087,vibration,2026-05-25T14:29:10.425074,-0.0505,mm_per_sec,EQ-0087-vibration-001,SCADA_v2.3,INVALID
EQ-0087,vibration,2026-05-25T14:29:10.425074,-0.0505,mm_per_sec,EQ-0087-vibration-001,SCADA_v2.3,INVALID
EQ-0046,temperature,2026-05-25T14:29:10.637611,76.29,celsius,EQ-0046-temperature-001,SCADA_v2.3,GOOD
EQ-0027,temperature,2026-05-25T14:29:10.751563,63.7,celsius,EQ-0027-temperature-001,SCADA_v2.3,GOOD
EQ-0024,pressure,2026-05-25T14:29:10.970406,94.03,psi,EQ-0024-pressure-001,SCADA_v2.3,GOOD
EQ-0027,power_consumption,2026-05-25T14:29:11.928004,81.25,kw,EQ-0027-power_consumption-001,SCADA_v2.3,GOOD
EQ-0041,temperature,2026-05-25T14:29:12.311362,78.47,celsius,EQ-0041-temperature-001,SCADA_v2.3,GOOD
EQ-0025,vibration,2026-05-25T14:29:13.132260,0.0216,mm_per_sec,EQ-0025-vibration-001,SCADA_v2.3,GOOD
EQ-0042,vibration,2026-05-25T14:29:14.463205,0.0409,mm_per_sec,EQ-0042-vibration-001,SCADA_v2.3,GOOD
EQ-0015,vibration,2026-05-25T14:29:14.819181,-0.1561,mm_per_sec,EQ-0015-vibration-001,SCADA_v2.3,INVALID
EQ-0012,power_consumption,2026-05-25T14:29:15.808872,41.53,kw,EQ-0012-power_consumption-001,SCADA_v2.3,GOOD
EQ-0024,pressure,2026-05-25T14:29:15.809456,96.8,psi,EQ-0024-pressure-001,SCADA_v2.3,GOOD
EQ-0002,pressure,2026-05-25T14:29:16.143058,99.19,psi,EQ-0002-pressure-001,SCADA_v2.3,GOOD
EQ-0051,vibration,2026-05-25T14:29:16.149342,0.0179,mm_per_sec,EQ-0051-vibration-001,SCADA_v2.3,GOOD
EQ-0073,temperature,2026-05-25T14:29:16.285057,58.4,celsius,EQ-0073-temperature-001,SCADA_v2.3,GOOD
EQ-0096,pressure,2026-05-25T14:29:16.689385,110.31,psi,EQ-0096-pressure-001,SCADA_v2.3,GOOD
EQ-0062,power_consumption,2026-05-25T14:29:17.232797,126.15,kw,EQ-0062-power_consumption-001,SCADA_v2.3,GOOD
EQ-0041,pressure,2026-05-25T14:29:17.440447,87.77,psi,EQ-0041-pressure-001,SCADA_v2.3,GOOD
EQ-0041,pressure,2026-05-25T14:29:17.630285,106.21,psi,EQ-0041-pressure-001,SCADA_v2.3,GOOD
EQ-0047,temperature,2026-05-25T14:29:17.831003,58.07,celsius,EQ-0047-temperature-001,SCADA_v2.3,GOOD
EQ-0065,temperature,2026-05-25T14:29:18.709528,51.06,celsius,EQ-0065-temperature-001,SCADA_v2.3,GOOD
EQ-0078,power_consumption,2026-05-25T14:29:18.927156,N/A,kw,EQ-0078-power_consumption-001,SCADA_v2.3,INVALID
EQ-0073,power_consumption,2026-05-25T14:29:19.701596,161.96,kw,EQ-0073-power_consumption-001,SCADA_v2.3,GOOD
EQ-0043,pressure,2026-05-25T14:29:20.753664,96.81,psi,EQ-0043-pressure-001,SCADA_v2.3,GOOD
EQ-0031,vibration,2026-05-25T14:29:20.825903,0.0209,mm_per_sec,EQ-0031-vibration-001,SCADA_v2.3,GOOD
EQ-0016,vibration,2026-05-25T14:29:20.985990,0.0335,mm_per_sec,EQ-0016-vibration-001,SCADA_v2.3,GOOD
EQ-0054,temperature,2026-05-25T14:29:21.559089,52.93,celsius,EQ-0054-temperature-001,SCADA_v2.3,GOOD
EQ-0069,power_consumption,2026-05-25T14:29:21.638128,56.03,kw,EQ-0069-power_consumption-001,SCADA_v2.3,GOOD
EQ-0058,temperature,2026-05-25T14:29:22.204530,47.28,celsius,EQ-0058-temperature-001,SCADA_v2.3,GOOD
EQ-0023,pressure,2026-05-25T14:29:22.748789,109.11,psi,EQ-0023-pressure-001,SCADA_v2.3,GOOD
EQ-0092,temperature,2026-05-25T14:29:22.845975,67.63,celsius,EQ-0092-temperature-001,SCADA_v2.3,GOOD
EQ-0050,pressure,2026-05-25T14:29:23.171077,102.78,psi,EQ-0050-pressure-001,SCADA_v2.3,GOOD
EQ-0095,temperature,2026-05-25T14:29:23.225920,53.21,celsius,EQ-0095-temperature-001,SCADA_v2.3,GOOD
EQ-0013,vibration,2026-05-25T14:29:23.279453,0.0158,mm_per_sec,EQ-0013-vibration-001,SCADA_v2.3,GOOD
EQ-0050,power_consumption,2026-05-25T14:29:23.529087,126.12,kw,EQ-0050-power_consumption-001,SCADA_v2.3,GOOD
EQ-0037,pressure,2026-05-25T14:29:23.549881,91.6,psi,EQ-0037-pressure-001,SCADA_v2.3,GOOD
EQ-0053,power_consumption,2026-05-25T14:29:24.131500,102.81,kw,EQ-0053-power_consumption-001,SCADA_v2.3,GOOD
EQ-0041,temperature,2026-05-25T14:29:24.182493,60.14,celsius,EQ-0041-temperature-001,SCADA_v2.3,GOOD
EQ-0081,power_consumption,2026-05-25T14:29:24.376734,53.68,kw,EQ-0081-power_consumption-001,SCADA_v2.3,GOOD
