equipment_id,equipment_name,equipment_type,manufacturer,model,serial_number,install_date,factory_location,production_line,status,criticality,last_maintenance_date
EQ-0041,CONVEYOR_BELT EQ-0041,HYDRAULIC_PRESS,"Ramirez, Strickland and Washington",Model-6180,SN-34714345,2022-09-03,Factory_North,Line_A,MAINTENANCE,LOW,2026-04-13
EQ-0042,ASSEMBLY_ROBOT EQ-0042,CNC_MACHINE,Hernandez Group,Model-2200,SN-23166587,2023-01-21,Factory_South,Line_C,ACTIVE,MEDIUM,2026-03-14
EQ-0043,CNC_MACHINE EQ-0043,ROBOTIC_ARM,Price-Carrillo,Model-7054,SN-09670546,2024-10-21,Factory_East,Line_B,MAINTENANCE,LOW,2026-05-20
EQ-0044,CONVEYOR_BELT EQ-0044,ASSEMBLY_ROBOT,Medina-Navarro,Model-9666,SN-93734670,2022-12-13,Factory_North,Line_C,ACTIVE,HIGH,2026-04-25
EQ-0045,CONVEYOR_BELT EQ-0045,CNC_MACHINE,Ramsey-Pittman,Model-2753,SN-29806990,2021-09-23,Factory_South,Line_C,ACTIVE,LOW,2026-04-03
EQ-0046,ROBOTIC_ARM EQ-0046,CONVEYOR_BELT,White-Green,Model-4335,SN-53755646,2022-05-27,Factory_East,Line_D,ACTIVE,HIGH,2026-03-03
EQ-0047,CNC_MACHINE EQ-0047,HYDRAULIC_PRESS,Curry Inc,Model-5533,SN-53100330,2023-11-17,Factory_North,Line_A,ACTIVE,HIGH,2026-03-17
EQ-0048,CONVEYOR_BELT EQ-0048,ROBOTIC_ARM,Caldwell-Elliott,Model-8239,SN-37452991,2024-07-03,Factory_West,Line_A,ACTIVE,HIGH,2026-03-10
EQ-0049,ROBOTIC_ARM EQ-0049,ASSEMBLY_ROBOT,Rodriguez-Johnson,Model-1590,SN-49663193,2021-10-19,Factory_East,Line_B,MAINTENANCE,HIGH,2026-05-04
EQ-0050,CNC_MACHINE EQ-0050,CONVEYOR_BELT,"Burke, Martinez and Riggs",Model-6974,SN-05865185,2021-06-11,Factory_North,Line_C,ACTIVE,LOW,2026-04-02
EQ-0051,ROBOTIC_ARM EQ-0051,CNC_MACHINE,Garcia-Yu,Model-6794,SN-72628498,2024-06-28,Factory_West,Line_B,ACTIVE,HIGH,2026-04-06
EQ-0052,ROBOTIC_ARM EQ-0052,HYDRAULIC_PRESS,"Vargas, Morris and Sanchez",Model-1406,SN-14737996,2022-09-27,Factory_South,Line_C,MAINTENANCE,LOW,2026-04-09
EQ-0053,ROBOTIC_ARM EQ-0053,CONVEYOR_BELT,White-Lewis,Model-3608,SN-45494808,2025-03-09,Factory_North,Line_D,ACTIVE,MEDIUM,2026-03-03
EQ-0054,ROBOTIC_ARM EQ-0054,ROBOTIC_ARM,"Russell, Peters and Allen",Model-8541,SN-77701436,2024-02-28,Factory_East,Line_C,ACTIVE,HIGH,2026-03-23
EQ-0055,CNC_MACHINE EQ-0055,ROBOTIC_ARM,"Wood, Tran and Cooper",Model-7528,SN-85574443,2021-11-16,Factory_East,Line_C,ACTIVE,MEDIUM,2026-03-13
EQ-0056,CONVEYOR_BELT EQ-0056,ASSEMBLY_ROBOT,Newton Ltd,Model-7548,SN-23374989,2022-07-11,Factory_East,Line_A,ACTIVE,MEDIUM,2026-03-05
EQ-0057,ROBOTIC_ARM EQ-0057,ASSEMBLY_ROBOT,Phillips LLC,Model-5349,SN-24082400,2023-08-10,Factory_North,Line_A,MAINTENANCE,MEDIUM,2026-04-27
EQ-0058,CONVEYOR_BELT EQ-0058,HYDRAULIC_PRESS,Little Group,Model-9379,SN-10947775,2022-02-17,Factory_North,Line_D,ACTIVE,MEDIUM,2026-02-28
EQ-0059,CNC_MACHINE EQ-0059,HYDRAULIC_PRESS,Wilson-Jones,Model-1027,SN-71902294,2021-09-25,Factory_South,Line_C,MAINTENANCE,HIGH,2026-03-18
EQ-0060,CONVEYOR_BELT EQ-0060,ASSEMBLY_ROBOT,"Duran, Obrien and Gibbs",Model-6143,SN-38677496,2022-08-13,Factory_North,Line_C,ACTIVE,LOW,2026-04-20
EQ-0061,HYDRAULIC_PRESS EQ-0061,CONVEYOR_BELT,"Choi, Garcia and Farmer",Model-7592,SN-34123281,2022-01-07,Factory_East,Line_B,ACTIVE,MEDIUM,2026-04-01
EQ-0062,HYDRAULIC_PRESS EQ-0062,ROBOTIC_ARM,"Wheeler, Carter and Hall",Model-5930,SN-47134936,2021-11-07,Factory_West,Line_A,ACTIVE,MEDIUM,2026-03-16
EQ-0063,ROBOTIC_ARM EQ-0063,HYDRAULIC_PRESS,Kerr and Sons,Model-6279,SN-10249947,2021-11-21,Factory_West,Line_D,MAINTENANCE,LOW,2026-04-26
EQ-0064,ROBOTIC_ARM EQ-0064,ASSEMBLY_ROBOT,"Powell, Nelson and Fernandez",Model-8752,SN-71906594,2021-06-30,Factory_South,Line_A,ACTIVE,LOW,2026-03-16
EQ-0065,ASSEMBLY_ROBOT EQ-0065,CONVEYOR_BELT,"Huff, Johnston and Sampson",Model-2530,SN-49027874,2022-02-13,Factory_South,Line_C,ACTIVE,HIGH,2026-04-17
EQ-0066,ROBOTIC_ARM EQ-0066,CNC_MACHINE,"Olsen, Costa and Harrison",Model-1757,SN-65512567,2022-07-19,Factory_South,Line_D,ACTIVE,MEDIUM,2026-05-20
EQ-0067,HYDRAULIC_PRESS EQ-0067,ASSEMBLY_ROBOT,"Johnson, Miller and King",Model-4185,SN-16808760,2022-02-22,Factory_West,Line_D,MAINTENANCE,HIGH,2026-03-28
EQ-0068,ROBOTIC_ARM EQ-0068,CNC_MACHINE,Garrett-Wolf,Model-2746,SN-34824771,2021-07-05,Factory_West,Line_B,ACTIVE,LOW,2026-04-21
EQ-0069,ASSEMBLY_ROBOT EQ-0069,HYDRAULIC_PRESS,Mckinney LLC,Model-1822,SN-80861317,2025-03-07,Factory_South,Line_A,MAINTENANCE,HIGH,2026-04-23
EQ-0070,HYDRAULIC_PRESS EQ-0070,ASSEMBLY_ROBOT,Jimenez Ltd,Model-6198,SN-48467737,2023-08-07,Factory_West,Line_D,MAINTENANCE,HIGH,2026-03-30
EQ-0071,HYDRAULIC_PRESS EQ-0071,HYDRAULIC_PRESS,"Romero, Suarez and Shields",Model-5246,SN-46584044,2024-09-28,Factory_South,Line_C,MAINTENANCE,LOW,2026-04-17
EQ-0072,ROBOTIC_ARM EQ-0072,CONVEYOR_BELT,"Burns, Hernandez and Ryan",Model-8206,SN-55886753,2025-04-25,Factory_North,Line_C,ACTIVE,MEDIUM,2026-03-17
EQ-0073,CONVEYOR_BELT EQ-0073,CONVEYOR_BELT,Hall-Rowe,Model-9849,SN-05766270,2021-11-24,Factory_North,Line_B,ACTIVE,HIGH,2026-05-21
EQ-0074,HYDRAULIC_PRESS EQ-0074,ROBOTIC_ARM,Kane-Sawyer,Model-4505,SN-71870262,2021-09-10,Factory_North,Line_D,MAINTENANCE,MEDIUM,2026-05-05
EQ-0075,ASSEMBLY_ROBOT EQ-0075,HYDRAULIC_PRESS,Morgan-Schwartz,Model-7812,SN-15865780,2023-11-12,Factory_North,Line_B,MAINTENANCE,MEDIUM,2026-03-17
EQ-0076,ASSEMBLY_ROBOT EQ-0076,CNC_MACHINE,"Mccall, Bright and Francis",Model-7232,SN-61172400,2022-09-09,Factory_West,Line_A,ACTIVE,MEDIUM,2026-03-01
EQ-0077,HYDRAULIC_PRESS EQ-0077,HYDRAULIC_PRESS,Brooks-Thomas,Model-9818,SN-86922219,2024-11-16,Factory_South,Line_D,ACTIVE,MEDIUM,2026-04-20
EQ-0078,HYDRAULIC_PRESS EQ-0078,HYDRAULIC_PRESS,Jimenez PLC,Model-1475,SN-23747407,2024-12-30,Factory_West,Line_C,MAINTENANCE,LOW,2026-04-25
EQ-0079,ROBOTIC_ARM EQ-0079,HYDRAULIC_PRESS,Jones LLC,Model-3091,SN-94647436,2024-10-21,Factory_North,Line_D,ACTIVE,HIGH,2026-03-05
EQ-0080,HYDRAULIC_PRESS EQ-0080,ROBOTIC_ARM,Armstrong-Andrews,Model-8564,SN-40640909,2024-05-16,Factory_South,Line_A,ACTIVE,MEDIUM,2026-05-09
EQ-0081,CONVEYOR_BELT EQ-0081,ROBOTIC_ARM,Parsons-Hall,Model-8449,SN-53394210,2022-08-18,Factory_East,Line_C,MAINTENANCE,MEDIUM,2026-04-04
EQ-0082,HYDRAULIC_PRESS EQ-0082,CONVEYOR_BELT,"Diaz, Anderson and Browning",Model-2341,SN-56232858,2023-05-27,Factory_West,Line_A,ACTIVE,MEDIUM,2026-03-20
EQ-0083,ROBOTIC_ARM EQ-0083,CNC_MACHINE,Scott Group,Model-1659,SN-45171236,2025-04-06,Factory_North,Line_B,ACTIVE,HIGH,2026-05-07
EQ-0084,ASSEMBLY_ROBOT EQ-0084,ROBOTIC_ARM,Davis-Foster,Model-4908,SN-48175496,2024-09-06,Factory_South,Line_D,ACTIVE,LOW,2026-05-19
EQ-0085,ROBOTIC_ARM EQ-0085,HYDRAULIC_PRESS,Leonard Group,Model-5198,SN-09859317,2025-01-11,Factory_East,Line_B,ACTIVE,HIGH,2026-03-23
EQ-0086,CONVEYOR_BELT EQ-0086,CNC_MACHINE,Wilson-Williams,Model-1420,SN-04711382,2022-12-12,Factory_East,Line_D,MAINTENANCE,LOW,2026-03-29
EQ-0087,ROBOTIC_ARM EQ-0087,CNC_MACHINE,"Horton, Fernandez and Matthews",Model-4978,SN-26179640,2024-02-26,Factory_North,Line_C,ACTIVE,LOW,2026-03-15
EQ-0088,CNC_MACHINE EQ-0088,CONVEYOR_BELT,Sampson-Foley,Model-9728,SN-15850643,2025-04-07,Factory_West,Line_C,ACTIVE,LOW,2026-05-20
EQ-0089,CONVEYOR_BELT EQ-0089,CNC_MACHINE,Davis-Lewis,Model-7882,SN-90053293,2021-09-01,Factory_West,Line_A,MAINTENANCE,MEDIUM,2026-05-03
EQ-0090,HYDRAULIC_PRESS EQ-0090,ROBOTIC_ARM,Willis and Sons,Model-8135,SN-52904228,2022-05-25,Factory_South,Line_C,MAINTENANCE,MEDIUM,2026-03-11
EQ-0091,HYDRAULIC_PRESS EQ-0091,ASSEMBLY_ROBOT,"Delacruz, Anderson and Howard",Model-5397,SN-39502402,2024-05-11,Factory_East,Line_B,ACTIVE,MEDIUM,2026-04-12
EQ-0092,HYDRAULIC_PRESS EQ-0092,ROBOTIC_ARM,"Brown, West and Cox",Model-8613,SN-91783908,2022-08-07,Factory_West,Line_C,ACTIVE,MEDIUM,2026-04-22
EQ-0093,CONVEYOR_BELT EQ-0093,ROBOTIC_ARM,Brown Group,Model-8988,SN-66177115,2023-10-29,Factory_South,Line_C,ACTIVE,MEDIUM,2026-03-01
EQ-0094,CONVEYOR_BELT EQ-0094,ASSEMBLY_ROBOT,Weber-Richards,Model-5526,SN-56984789,2023-02-11,Factory_North,Line_B,ACTIVE,HIGH,2026-05-06
EQ-0095,HYDRAULIC_PRESS EQ-0095,HYDRAULIC_PRESS,Farrell Ltd,Model-4937,SN-83673657,2022-12-27,Factory_West,Line_D,MAINTENANCE,HIGH,2026-04-30
EQ-0096,CNC_MACHINE EQ-0096,CONVEYOR_BELT,Simmons-Ortega,Model-4630,SN-52711116,2021-10-12,Factory_West,Line_B,ACTIVE,LOW,2026-05-01
EQ-0097,ASSEMBLY_ROBOT EQ-0097,CONVEYOR_BELT,Hawkins PLC,Model-8753,SN-88516560,2025-04-07,Factory_East,Line_D,ACTIVE,MEDIUM,2026-04-19
EQ-0098,HYDRAULIC_PRESS EQ-0098,CONVEYOR_BELT,Garcia-Romero,Model-6023,SN-27315851,2024-06-11,Factory_East,Line_B,ACTIVE,LOW,2026-04-16
EQ-0099,ROBOTIC_ARM EQ-0099,CONVEYOR_BELT,Bruce-Villegas,Model-2958,SN-99809402,2022-06-27,Factory_South,Line_B,ACTIVE,LOW,2026-05-03
EQ-0100,HYDRAULIC_PRESS EQ-0100,CONVEYOR_BELT,Bell-White,Model-9595,SN-29612018,2022-04-03,Factory_East,Line_A,ACTIVE,MEDIUM,2026-04-02
